,Well,Size,Bit_Number,Re_Run,Reference,Type,Structure,Formation,Footage,Depth in,Depth out,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Min WOB,Max WOB,ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
59,Peru Sur 8,26.0,1,N,GTX-C3MG1,Tricone,Anticlinal N,Colluvium,272.0000000000001,52,620,336.0,3.0,0.0,200.0,913.0,0.729,1.0,27.0,50.0,10.760000000000002,8.6,Rotary,30.0,90.0,15.0,2.0,Hughes
60,Peru Sur 8,26.0,1,N,GTX-C3MG1,Tricone,Anticlinal N,C2,295.99999999999994,52,620,336.0,3.0,0.0,200.0,913.0,0.729,1.0,27.0,50.0,10.760000000000002,8.6,Rotary,30.0,90.0,15.0,2.0,Hughes
61,Peru Sur 8,26.0,2,N,S819SPX,PDC,Anticlinal N,C2,59.999999999999986,620,1400,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,6.999999999999999,15.0,9.87,8.9,RSS,90.0,130.0,10.0,3.0,Smith
62,Peru Sur 8,26.0,2,N,S819SPX,PDC,Anticlinal N,C3,518.9999999999999,620,1400,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,6.999999999999999,15.0,9.87,8.9,RSS,90.0,130.0,10.0,3.0,Smith
63,Peru Sur 8,26.0,2,N,S819SPX,PDC,Anticlinal N,C4,173.00000000000006,620,1400,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,6.999999999999999,15.0,9.87,8.9,RSS,90.0,130.0,10.0,3.0,Smith
64,Peru Sur 8,26.0,2,N,S819SPX,PDC,Anticlinal N,C5,27.999999999999996,620,1400,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,6.999999999999999,15.0,9.87,8.9,RSS,90.0,130.0,10.0,3.0,Smith
65,Peru Sur 8,18.5,3,N,SKF819M,PDC,Anticlinal N,C5,2118.0000000000005,1400,3641,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,10.000000000000002,50.0,19.320000000000004,9.3,RSS,80.0,140.0,14.0,3.0,Hycalog
66,Peru Sur 8,18.5,3,N,SKF819M,PDC,Anticlinal M,C8,114.00000000000003,1400,3641,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,10.000000000000002,50.0,19.320000000000004,9.3,RSS,80.0,140.0,14.0,3.0,Hycalog
67,Peru Sur 8,18.5,3,N,SKF819M,PDC,Anticlinal M,Mirador,9.000000000000002,1400,3641,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,10.000000000000002,50.0,19.320000000000004,9.3,RSS,80.0,140.0,14.0,3.0,Hycalog
68,Peru Sur 8,18.5,4,N,FT816,PDC,Anticlinal M,Mirador,177.99999999999997,3641,3819,3730.0,8.0,16.0,880.0,915.0,1.003,1.5,10.000000000000002,50.0,6.4,9.3,RSS,80.0,120.0,14.0,3.0,Hycalog
69,Peru Sur 8,18.5,5,N,GS30BDODVCRD,Tricone,Anticlinal M,Mirador,219.00000000000003,3819,4038,3928.5,3.0,0.0,900.0,950.0,1.022,1.52,15.0,40.0,4.13,9.3,RSS,80.0,120.0,6.0,2.0,Smith
70,Peru Sur 8,18.5,6,N,GS30BDODVCRD,Tricone,Anticlinal M,Mirador,378.0000000000001,4038,4416,4227.0,3.0,0.0,900.0,900.0,0.994,1.39,30.000000000000004,50.0,4.430000000000001,9.4,RSS,90.0,95.0,7.0,3.0,Smith
71,Peru Sur 8,18.5,7,N,MXL DS 20DX,Tricone,Anticlinal M,Mirador,171.99999999999994,4417,4589,4503.0,3.0,0.0,900.0,900.0,0.776,2.2,10.000000000000002,53.0,4.28,9.5,Rotary,80.0,110.0,7.0,4.0,Hughes
72,Peru Sur 8,18.5,4,R,FT816M,PDC,Anticlinal M,Mirador,521.0,4589,5110,4849.5,8.0,16.0,449.0,950.0,1.078,1.18,4.999999999999999,40.0,6.0,9.6,RSS,70.0,150.0,16.0,3.5,Hycalog
73,Peru Sur 8,18.5,8,N,GS30BDODVCRD,Tricone,Anticlinal M,Mirador,234.00000000000006,5110,5344,5227.0,3.0,0.0,750.0,850.0,0.994,1.14,30.000000000000004,55.0,3.13,9.8,Motor,106.0,128.0,6.666666666666667,3.0,Smith
74,Peru Sur 8,18.5,9,N,QD508FX,PDC,Anticlinal M,Mirador,274.00000000000006,5344,5655,5499.5,8.0,16.0,850.0,900.0,1.021,1.05,15.0,60.0,4.16,9.8,RSS,60.0,140.0,12.0,5.0,Hughes
75,Peru Sur 8,18.5,9,N,QD508FX,PDC,Anticlinal M,Los Cuervos,36.99999999999999,5344,5655,5499.5,8.0,16.0,850.0,900.0,1.021,1.05,15.0,60.0,4.16,9.8,RSS,60.0,140.0,12.0,5.0,Hughes
76,Peru Sur 8,18.5,10,N,FX76R,PDC,Anticlinal M,Los Cuervos,396.0,5655,6051,5853.0,7.0,19.0,900.0,900.0,0.928,1.5,4.999999999999999,62.0,7.2,9.9,RSS,80.0,140.0,15.0,4.0,Halliburton
77,Peru Sur 8,14.75,11,N,QD609Z,PDC,Anticlinal M,Los Cuervos,1121.0,6051,7186,6618.5,9.0,19.0,800.0,900.0,0.84,3.28,4.999999999999999,55.0,9.05,10.6,RSS,70.0,155.0,14.0,8.0,Hughes
78,Peru Sur 8,14.75,11,N,QD609Z,PDC,Anticlinal M,Mirador,13.999999999999996,6051,7186,6618.5,9.0,19.0,800.0,900.0,0.84,3.28,4.999999999999999,55.0,9.05,10.6,RSS,70.0,155.0,14.0,8.0,Hughes
79,Peru Sur 8,14.75,12,N,QD508FX,PDC,Anticlinal M,Mirador,230.00000000000006,7186,7416,7301.0,8.0,16.0,775.0,900.0,0.996,2.5,15.0,50.0,4.06,11.2,RSS,90.0,145.0,15.0,9.0,Hughes
80,Peru Sur 8,14.75,13,N,VM-DS28CGDX2,Tricone,Anticlinal M,Mirador,154.00000000000006,7416,7570,7493.0,3.0,0.0,775.0,850.0,0.994,1.58,49.99999999999999,60.0,1.57,11.3,Rotary,35.0,55.0,11.0,8.0,Hughes
81,Peru Sur 8,14.75,14,N,FXD84,PDC,Anticlinal M,Mirador,285.99999999999994,7570,7856,7713.0,8.0,13.0,753.0,852.0,1.037,2.0437,1.0,40.0,3.49,11.3,Rotary,40.0,145.0,15.0,8.5,Halliburton
82,Peru Sur 8,14.75,15,N,MSi616HSPX,PDC,Anticlinal M,Mirador,304.00000000000006,7856,8160,8008.0,6.0,16.0,770.0,800.0,1.037,1.76,1.0,50.0,2.26,11.3,Rotary,40.0,150.0,15.0,8.0,Smith
83,Peru Sur 8,14.75,16,N,RSFX1016M,PDC,Anticlinal M,Mirador,348.00000000000006,8160,8508,8334.0,10.0,16.0,750.0,850.0,0.994,1.841,4.999999999999999,42.0,2.43,11.3,Rotary,60.0,155.0,15.0,9.0,Hycalog
84,Peru Sur 8,14.75,17,N,QD609F,PDC,Anticlinal M,Mirador,104.99999999999997,8508,9835,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,4.999999999999999,40.0,12.500000000000002,11.3,RSS,80.0,160.0,18.0,14.0,Hughes
85,Peru Sur 8,14.75,17,N,QD609F,PDC,Anticlinal M,C8,1098.9999999999998,8508,9835,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,4.999999999999999,40.0,12.500000000000002,11.3,RSS,80.0,160.0,18.0,14.0,Hughes
86,Peru Sur 8,14.75,17,N,QD609F,PDC,Anticlinal M,C7,122.99999999999994,8508,9835,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,4.999999999999999,40.0,12.500000000000002,11.3,RSS,80.0,160.0,18.0,14.0,Hughes
87,Peru Sur 8,14.75,18,N,MDSi619HBPX,PDC,Anticlinal M,C7,225.0,9835,10875,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,4.999999999999999,30.0,13.999999999999996,11.3,RSS,90.0,140.0,14.0,16.0,Smith
88,Peru Sur 8,14.75,18,N,MDSi619HBPX,PDC,Imbricate,C6,94.0,9835,10875,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,4.999999999999999,30.0,13.999999999999996,11.3,RSS,90.0,140.0,14.0,16.0,Smith
