Well;Size;Bit_Number;Re_Run;Reference;Type;Date_in;Structure;Formation;Footage (ft);Depth in (ft);Depth out (ft);Depth Average (ft);Blades;Cutter size (mm);Min Flow Rate (gpm);Max Flow Rate (gpm);TFA (sq in);HSI;Min WOB (klb);Max WOB (klb);Average_ROP;Mud Weight (ppg);Dull_Grading;Drive_System;Min_RPM;Max_RPM;Torque Max (kft-lb);Torque Min (kft-lb);Manufacturer
Florida 7;14 3/4;7;;QD 609ZX;PDC;25-oct-10;Anticlinal M;C8;1924;6454;8631;7542,5;9;19;800;850;1,491;0,964;5;25;40,39;10,8;0-1-WT-A-X-I-NO-DTF;RSS;100;100;15;8;Hughes
Florida 7;14 3/4;7;RR;QD609Z;PDC;2-nov-10;Anticlinal M;C7;1604;8631;10927;9779;9;19;850;850;1,491;0,973;5;40;23,6;11,1;1-2-WT-A-X-I-NO-BHA;RSS;80;140;14;8;Hughes
Florida 7;14 3/4;7;RR;QD609Z;PDC;2-nov-10;Anticlinal M;C8;599;8631;10927;9779;9;19;850;850;1,491;0,973;5;40;23,6;11,1;1-2-WT-A-X-I-NO-BHA;RSS;80;140;14;8;Hughes
Florida 7;14 3/4;7;RR;QD609Z;PDC;2-nov-10;Anticlinal F;C7;93;8631;10927;9779;9;19;850;850;1,491;0,973;5;40;23,6;11,1;1-2-WT-A-X-I-NO-BHA;RSS;80;140;14;8;Hughes
Florida 7;14 3/4;8;;QD609ZX;PDC;12-nov-10;Anticlinal F;C7;53;10927;12279;11603;9;19;830;830;1,491;0,930;15;32;19,02;11,8;1-3-WT-A-X-I-CT-TD;RSS;80;130;17;10;Hughes
Florida 7;14 3/4;8;;QD609ZX;PDC;12-nov-10;Anticlinal F;C8;1278;10927;12279;11603;9;19;830;830;1,491;0,930;15;32;19,02;11,8;1-3-WT-A-X-I-CT-TD;RSS;80;130;17;10;Hughes
Florida 7;14 3/4;8;;QD609ZX;PDC;12-nov-10;Anticlinal F;Mirador;21;10927;12279;11603;9;19;830;830;1,491;0,930;15;32;19,02;11,8;1-3-WT-A-X-I-CT-TD;RSS;80;130;17;10;Hughes
Florida 7;10 5/8;9;;QD408FX;PDC;2-dic-10;Anticlinal F;Mirador;148;12279;12427;12353;8;13;410;650;1,571;0,641;5;47;3,5;11,9;6-8-RO-S-X-I-BT-PR;RSS;50;100;13,37;3,5;Hughes
Florida 7;10 5/8;10;;FMH3953ZR;PDC;7-dic-10;Anticlinal F;Mirador;36;12427;12463;12445;9;16;600;608;1,988;0,315;5;45;1,5;9,5;5-7-RO-S-X-I-WT-PR;RSS;54;92;12;9,5;Security
Florida 7;10 5/8;11;;HH378;Impregnated;9-dic-10;Anticlinal F;Mirador;131;12463;12594;12528,5;18;;600;600;1,94;0,315;5;20;1,85;9,5;1-2-WT-A-X-I-NO-BHA;RSS;160;194;10,7;9;Hughes
Florida 7;10 5/8;12;;MDSi813LBPXX;PDC;14-dic-10;Anticlinal F;Mirador;160;12594;12754;12674;8;13;600;600;1,98;0,315;10;30;1,63;9,5;1-2-WT-A-X-I-NO-PP;RSS;60;80;12;8;Smith
