Well;Size;Bit_Number;Re_Run;Reference;Type;Date_in;Structure;Formation;Footage (ft);Depth in (ft);Depth out (ft);Depth Average (ft);Blades;Cutter size (mm);Min Flow Rate (gpm);Max Flow Rate (gpm);TFA (sq in);HSI;Min WOB (klb);Max WOB (klb);Average_ROP;Mud Weight (ppg);Dull_Grading;Drive_System;Min_RPM;Max_RPM;Torque Max (kft-lb);Torque Min (kft-lb);Manufacturer
Peru Sur 8;26;2;;S819SPX;PDC;29-dic-12;Anticlinal N;C4;173;620;1400;1010;8;19;760;766;0,928;0,42;7;15;9,87;8,9;1-1-CT-S-X-I-NO-TD;RSS;90;130;10;3;Smith
Peru Sur 8;26;2;;S819SPX;PDC;29-dic-12;Anticlinal N;C5;28;620;1400;1010;8;19;760;766;0,928;0,42;7;15;9,87;8,9;1-1-CT-S-X-I-NO-TD;RSS;90;130;10;3;Smith
Peru Sur 8;18 1/2;3;;SKF819M;PDC;11-ene-13;Anticlinal N;C5;2118;1400;3641;2520,5;8;19;880;915;1,003;1,5;10;50;19,32;9,3;1-2-WT-S-X-I-CT-BHA;RSS;80;140;14;3;Hycalog
Peru Sur 8;18 1/2;3;;SKF819M;PDC;11-ene-13;Anticlinal M;C8;114;1400;3641;2520,5;8;19;880;915;1,003;1,5;10;50;19,32;9,3;1-2-WT-S-X-I-CT-BHA;RSS;80;140;14;3;Hycalog
Peru Sur 8;18 1/2;3;;SKF819M;PDC;11-ene-13;Anticlinal M;Mirador;9;1400;3641;2520,5;8;19;880;915;1,003;1,5;10;50;19,32;9,3;1-2-WT-S-X-I-CT-BHA;RSS;80;140;14;3;Hycalog
Peru Sur 8;18 1/2;4;;FT816;PDC;19-ene-13;Anticlinal M;Mirador;178;3641;3819;3730;8;16;880;915;1,003;1,5;10;50;6,40;9,3;0-3-BT-G-X-I-NO-DTF;RSS;80;120;14;3;Hycalog
Peru Sur 8;18 1/2;5;;GS30BDODVCRD;Tricone;25-ene-13;Anticlinal M;Mirador;219;3819;4038;3928,5;;;900;950;1,022;1,52;15;40;4,13;9,3;3-7-WT-A-E-I-BT-BHA;RSS;80;120;6;2;Smith
Peru Sur 8;18 1/2;6;;GS30BDODVCRD;Tricone;29-ene-13;Anticlinal M;Mirador;378;4038;4416;4227;;;900;900;0,994;1,39;30;50;4,43;9,4;3-7-WT-A-E-I-BT-HP;RSS;90;95;7;3;Smith
Peru Sur 8;18 1/2;7;;MXL DS 20DX;Tricone;4-feb-13;Anticlinal M;Mirador;172;4417;4589;4503;;;900;900;0,776;2,2;10;53;4,28;9,5;1-2-WT-A-E-I-BT-PR;Rotary;80;110;7;4;Hughes
Peru Sur 8;18 1/2;4;R;FT816M;PDC;9-feb-13;Anticlinal M;Mirador;521;4589;5110;4849,5;8;16;449;950;1,078;1,18;5;40;6,00;9,6;2-8-RO-S-X-I-WT-PR;RSS;70;150;16;3,5;NOV
Peru Sur 8;18 1/2;8;;GS30BDODVCRD;Tricone;15-feb-13;Anticlinal M;Mirador;234;5110;5344;5227;;;750;850;0,994;1,14;30;55;3,13;9,8;1-3-BT-G-E-I-WT-HR;Motor;106;128;;;Smith
Peru Sur 8;18 1/2;9;;QD508FX;PDC;22-feb-13;Anticlinal M;Mirador;274;5344;5655;5499,5;8;16;850;900;1,021;1,05;15;60;4,16;9,8;1-2-WT-S-X-I-NO-PR;RSS;60;140;12;5;Hughes
Peru Sur 8;18 1/2;9;;QD508FX;PDC;22-feb-13;Anticlinal M;Los Cuervos;37;5344;5655;5499,5;8;16;850;900;1,021;1,05;15;60;4,16;9,8;1-2-WT-S-X-I-NO-PR;RSS;60;140;12;5;Hughes
Peru Sur 8;18 1/2;10;;FX76R;PDC;27-feb-13;Anticlinal M;Los Cuervos;396;5655;6051;5853;7;19;900;900;0,928;1,5;5;62;7,20;9,9;1-2-WT-T/S-X-I-CT-BHA;RSS;80;140;15;4;Halliburton
Peru Sur 8;14 3/4;11;;QD609Z;PDC;10-mar-13;Anticlinal M;Los Cuervos;1121;6051;7186;6618,5;9;19;800;900;0,84;3,28;5;55;9,05;10,6;6-8-RO-S-X-3-CT-PR;RSS;70;155;14;8;Hughes
Peru Sur 8;14 3/4;11;;QD609Z;PDC;10-mar-13;Anticlinal M;Mirador;14;6051;7186;6618,5;9;19;800;900;0,84;3,28;5;55;9,05;10,6;6-8-RO-S-X-3-CT-PR;RSS;70;155;14;8;Hughes
Peru Sur 8;14 3/4;12;;QD508FX;PDC;21-mar-13;Anticlinal M;Mirador;230;7186;7416;7301;8;16;775;900;0,996;2,5;15;50;4,06;11,2;7-8-RO-S-X-I-BB/LT-PP;RSS;90;145;15;9;Hughes
Peru Sur 8;14 3/4;13;;VM-DS28CGDX2;Tricone;28-mar-13;Anticlinal M;Mirador;154;7416;7570;7493;;;775;850;0,994;1,58;50;60;1,57;11,3;2-7-BT-G-E-I-CT-TQ;Rotary;35;55;11;8;Hughes
Peru Sur 8;14 3/4;14;;FXD84;PDC;3-mar-13;Anticlinal M;Mirador;286;7570;7856;7713;8;13;753;852;1,037;2,0437;1;40;3,49;11,3;1-4-CT-S-X-I-CT-ROP;Rotary;40;145;15;8,5;Halliburton
Peru Sur 8;14 3/4;15;;MSi616HSPX;PDC;9-abr-13;Anticlinal M;Mirador;304;7856;8160;8008;6;16;770;800;1,037;1,76;1;50;2,26;11,3;2-8-RO-S-X-I-WT-PR;Rotary;40;150;15;8;Smith
Peru Sur 8;14 3/4;16;;RSFX1016M;PDC;18-abr-13;Anticlinal M;Mirador;348;8160;8508;8334;10;16;750;850;0,994;1,841;5;42;2,43;11,3;3-4-WT-A-X-I-CT-BHA;Rotary;60;155;15;9;NOV
Peru Sur 8;14 3/4;17;;QD609F;PDC;27-abr-13;Anticlinal M;Mirador;105;8508;9835;9171,5;9;19;840;900;1,086;1,8;5;40;12,50;11,3;1-1-CT-G-X-I-NO-BHA;RSS;80;160;18;14;Hughes
Peru Sur 8;14 3/4;17;;QD609F;PDC;27-abr-13;Anticlinal M;C8;1099;8508;9835;9171,5;9;19;840;900;1,086;1,8;5;40;12,50;11,3;1-1-CT-G-X-I-NO-BHA;RSS;80;160;18;14;Hughes
Peru Sur 8;14 3/4;17;;QD609F;PDC;27-abr-13;Anticlinal M;C7;123;8508;9835;9171,5;9;19;840;900;1,086;1,8;5;40;12,50;11,3;1-1-CT-G-X-I-NO-BHA;RSS;80;160;18;14;Hughes
Peru Sur 8;14 3/4;18;;MDSi619HBPX;PDC;6-may-13;Anticlinal M;C7;225;9835;10875;10355;6;19;840;890;1,032;1,71;5;30;14,00;11,3;1-2-WT-S/G-X-I-CT-BHA;RSS;90;140;14;16;Smith
Peru Sur 8;14 3/4;18;;MDSi619HBPX;PDC;6-may-13;Imbricate;C6;94;9835;10875;10355;6;19;840;890;1,032;1,71;5;30;14,00;11,3;1-2-WT-S/G-X-I-CT-BHA;RSS;90;140;14;16;Smith
Peru Sur 8;14 3/4;18;;MDSi619HBPX;PDC;6-may-13;Imbricate;C7;721;9835;10875;10355;6;19;840;890;1,032;1,71;5;30;14,00;11,3;1-2-WT-S/G-X-I-CT-BHA;RSS;90;140;14;16;Smith
Peru Sur 8;14 3/4;17;R;QD609F;PDC;12-may-13;Imbricate;C7;413;10875;11288;11081,5;9;19;810;850;1,086;1,73;5;50;5,41;11,7;1-2-CT-S-X-I-BT-BHA;RSS;90;140;22;16;Hughes
Peru Sur 8;14 3/4;19;;QD607;PDC;12-may-13;Imbricate;C7;727;11288;12183;11735,5;7;19;850;850;1,178;1,47;5;30;8,98;11,7;0-1-WT-S-X-I-CT-RIG;RSS;100;120;22;16;Hughes
Peru Sur 8;14 3/4;19;;QD607;PDC;12-may-13;Imbricate;C8;168;11288;12183;11735,5;7;19;850;850;1,178;1,47;5;30;8,98;11,7;0-1-WT-S-X-I-CT-RIG;RSS;100;120;22;16;Hughes
Peru Sur 8;14 3/4;19;R;QD607;PDC;27-may-13;Imbricate;C7;17;12183;12200;12191,5;7;19;805;805;1,335;0,97;15;18;9,44;11,8;0-1-WT-S-X-I-CT-TD;Rotary;120;120;18;17;Hughes
Peru Sur 8;10 5/8;20;;FX75DM;PDC;5-jun-13;Imbricate;C7;130;12200;12330;12265;7;16;550;600;1,052;0,885;3;20;50,00;12;0-0-NO-A-X-I-PN-BHA;Rotary;30;50;19;8;Halliburton
Peru Sur 8;10 5/8;21;;MDSi716LBPX;PDC;8-jun-13;Imbricate;C7;320;12330;14604;13467;7;16;775;790;1,19;2,27;5;30;18,78;12,1;0-1-WT-G-X-I-NO-BHA;RSS;120;120;21;13;Smith
Peru Sur 8;10 5/8;21;;MDSi716LBPX;PDC;8-jun-13;Imbricate;C8;248;12330;14604;13467;7;16;775;790;1,19;2,27;5;30;18,78;12,1;0-1-WT-G-X-I-NO-BHA;RSS;120;120;21;13;Smith
Peru Sur 8;10 5/8;21;;MDSi716LBPX;PDC;8-jun-13;Anticlinal G;C7;944;12330;14604;13467;7;16;775;790;1,19;2,27;5;30;18,78;12,1;0-1-WT-G-X-I-NO-BHA;RSS;120;120;21;13;Smith
Peru Sur 8;10 5/8;21;;MDSi716LBPX;PDC;8-jun-13;Anticlinal G;C8;762;12330;14604;13467;7;16;775;790;1,19;2,27;5;30;18,78;12,1;0-1-WT-G-X-I-NO-BHA;RSS;120;120;21;13;Smith
Peru Sur 8;10 5/8;22;;MSF716M;PDC;25-jun-13;Anticlinal G;C8;318;14604;14922;14763;7;16;690;770;1,19;1,1905;18;30;13,09;12,15;0-1-CT-S-X-I-NO-HP;RSS;100;124;19;17;NOV
Peru Sur 8;10 5/8;22;R;MSF716M;PDC;30-jun-13;Anticlinal G;Mirador;4;14922;14926;14924;7;16;500;500;1,19;;12;20;;12,15;0-1-CT-S-X-I-NO-TD;Rotary;90;90;16;12;NOV
Peru Sur 8;8 1/2;24;;MM74D;PDC;26-jul-13;Anticlinal G;Mirador;66;14926;14992;14959;7;13;350;450;0,778;1,5;3;25;5,74;8,4;5-3-RO-N-X-I-PN/CT-PP;Rotary;100;130;16;12;Halliburton
Peru Sur 8;8 1/2;25;;K507QSTBPXXC;PDC;30-jul-13;Anticlinal G;Mirador;6;14992;14998;14995;7;16;250;540;1,553;2,36;2;20;3,30;8,4;0-0-NO-A-X-I-NO-DTF;Turbine;30;1231;16;9;Smith
Peru Sur 8;8 1/2;26;;HHDS132;Impregnated;2-ago-13;Anticlinal G;Mirador;363;14998;15361;15179,5;12;;560;560;0,662;3,22;2;21;3,49;9,4;7-3-CR-C-X-I-WT-BHA;Motor;185;185;19;16;Hughes
Peru Sur 8;8 1/2;27;;DP336;Impregnated;11-ago-13;Anticlinal G;Mirador;220;15361;15714;15537,5;16;;560;580;1,5;0,65;2;23;4,05;8,4;;Motor;185;191;17;13;Hughes
