Size,Re_Run,Type,Structure,Formation,Log Footage,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Log Min WOB,Max WOB,Log ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
8.5,0,3,5,17,6.561030665896573,17182.5,3.0,0.0,550.0,565.0,0.601,4.249,0.6931471805599453,40.0,2.1162555148025524,9.4,2,80.0,110.0,25.0,12.5,1
8.5,0,2,5,17,5.267858159063328,17874.0,8.0,13.0,275.0,550.0,1.21,1.011,0.0,35.0,1.5040773967762742,9.4,2,80.0,120.0,20.0,14.0,4
8.5,0,2,5,0,5.971261839790462,17874.0,8.0,13.0,275.0,550.0,1.21,1.011,0.0,35.0,1.5040773967762742,9.4,2,80.0,120.0,20.0,14.0,4
8.5,0,2,5,0,3.4011973816621555,18243.5,8.0,13.0,550.0,550.0,1.3,0.875,2.302585092994046,24.0,2.5572273113676265,9.4,2,80.0,120.0,17.0,14.0,2
8.5,0,2,5,8,4.812184355372417,18243.5,8.0,13.0,550.0,550.0,1.3,0.875,2.302585092994046,24.0,2.5572273113676265,9.4,2,80.0,120.0,17.0,14.0,2
36.0,0,3,4,15,4.442651256490317,87.5,3.0,0.0,300.0,550.0,2.605,0.003,2.302585092994046,15.0,2.5649493574615367,8.5,2,60.0,60.0,5.0,4.0,4
26.0,0,2,4,15,5.811140992976701,1270.0,6.0,19.0,276.0,460.0,0.663,0.047,1.791759469228055,35.0,3.380994674344636,8.5,1,100.0,115.0,16.0,5.0,4
26.0,0,2,4,9,6.914730892718563,1270.0,6.0,19.0,276.0,460.0,0.663,0.047,1.791759469228055,35.0,3.380994674344636,8.5,1,100.0,115.0,16.0,5.0,4
26.0,0,2,4,16,6.844815479208263,1270.0,6.0,19.0,276.0,460.0,0.663,0.047,1.791759469228055,35.0,3.380994674344636,8.5,1,100.0,115.0,16.0,5.0,4
18.5,0,2,4,16,5.480638923341991,3433.5,8.0,19.0,900.0,970.0,0.923,1.403,1.6094379124341003,35.0,3.4307561839036995,9.1,1,30.0,120.0,20.0,3.0,4
18.5,0,2,4,1,7.499423290592229,3433.5,8.0,19.0,900.0,970.0,0.923,1.403,1.6094379124341003,35.0,3.4307561839036995,9.1,1,30.0,120.0,20.0,3.0,4
18.5,0,2,4,1,4.060443010546419,5093.5,8.0,19.0,900.0,950.0,1.089,1.16,1.0986122886681098,28.0,3.817712325956905,9.1,1,80.0,150.0,16.0,2.0,4
18.5,0,2,4,2,6.35088571671474,5093.5,8.0,19.0,900.0,950.0,1.089,1.16,1.0986122886681098,28.0,3.817712325956905,9.1,1,80.0,150.0,16.0,2.0,4
18.5,0,2,4,3,5.834810737062605,5093.5,8.0,19.0,900.0,950.0,1.089,1.16,1.0986122886681098,28.0,3.817712325956905,9.1,1,80.0,150.0,16.0,2.0,4
18.5,0,2,4,4,5.308267697401205,5093.5,8.0,19.0,900.0,950.0,1.089,1.16,1.0986122886681098,28.0,3.817712325956905,9.1,1,80.0,150.0,16.0,2.0,4
18.5,0,2,4,5,4.584967478670572,5093.5,8.0,19.0,900.0,950.0,1.089,1.16,1.0986122886681098,28.0,3.817712325956905,9.1,1,80.0,150.0,16.0,2.0,4
14.75,0,2,4,5,6.779921907472252,6170.0,6.0,19.0,800.0,938.0,0.994,2.0,2.70805020110221,50.0,2.91235066461494,10.1,1,120.0,180.0,18.0,2.0,4
14.75,0,2,4,5,6.46302945692067,7138.0,8.0,19.0,940.0,1000.0,1.203,2.41,2.995732273553991,55.0,2.7788192719904172,10.7,1,120.0,175.0,20.0,2.0,2
14.75,0,2,4,6,5.342334251964811,7138.0,8.0,19.0,940.0,1000.0,1.203,2.41,2.995732273553991,55.0,2.7788192719904172,10.7,1,120.0,175.0,20.0,2.0,2
14.75,0,2,3,5,5.327876168789581,7138.0,8.0,19.0,940.0,1000.0,1.203,2.41,2.995732273553991,55.0,2.7788192719904172,10.7,1,120.0,175.0,20.0,2.0,2
14.75,0,2,3,5,6.315358001522335,8030.0,8.0,19.0,900.0,1000.0,1.503,1.24,2.70805020110221,55.0,2.0149030205422647,11.8,1,100.0,180.0,11.0,2.0,4
14.75,0,2,3,5,5.1647859739235145,8030.0,8.0,19.0,900.0,1000.0,1.503,1.24,2.70805020110221,55.0,2.0149030205422647,11.8,1,100.0,180.0,11.0,2.0,4
14.75,0,0,3,5,5.655991810819852,8721.0,3.0,16.0,900.0,940.0,1.197,1.72,3.6888794541139363,70.0,2.388762789235098,12.0,1,100.0,140.0,12.0,5.0,1
